gpu,P_IO_w_median,P_IO_w_mean,P_infer_intercept_w,P_infer_slope_w_per_batch,P_infer_r2,P_infer_w_median_all,P_infer_w_median_large,n
A100,33.73041666666667,33.8708125,31.006234022556388,2.7568149512294253,0.8271373000892472,50.501999999999995,76.95821428571429,8
B200,197.11228571428572,197.0403694891,196.13341228070172,0.3581964201043147,0.8641843513872337,199.50124999999997,200.18400000000003,8
H200,135.75600000000003,135.73433786848074,132.32272368421053,1.1607123044096699,0.8070881551107547,138.825,147.30124999999998,8
MI300A,119.86111111111111,117.42902212166918,140.65503648398382,1.4801117209011947,0.7473785365555028,153.1787878787879,166.8361111111111,8
MI300X,160.52083333333331,163.57118055555554,151.99956140350878,4.56693930772878,0.9413630532859169,186.89999999999998,221.61666666666667,8
Max,279.92285714285714,283.06114409400124,307.4513488835725,4.239366118510853,0.618724674950348,339.37405303030306,363.8665277777777,8
