x, y
53.96039604,0
101.4851485,0
131.1881188,0
165.3465347,0.001236094
186.8811881,0.012360939
203.960396,0.028430161
215.0990099,0.043263288
224.7524752,0.065512979
235.1485149,0.09394314
245.5445545,0.131025958
255.1980198,0.182941904
264.8514851,0.25710754
275.2475248,0.337453646
285.6435644,0.453646477
295.2970297,0.592088999
305.6930693,0.718170581
316.0891089,0.81829419
325,0.882571075
335.3960396,0.923362176
345.7920792,0.948084054
355.4455446,0.966625464
365.8415842,0.976514215
375.4950495,0.981458591
385.1485149,0.986402967
396.2871287,0.988875155
407.4257426,0.990111248
436.3861386,0.992583436
476.4851485,0.99381953
526.2376238,0.99381953
581.1881188,0.992583436
642.0792079,0.99381953
691.8316832,0.99381953
