x, y
1,0
5,0
9.579221636,0.007425743
11.07492321,0.011138614
13.58382789,0.016089109
16.57180808,0.018564356
18.95452704,0.01980198
20.99199313,0.021039604
22.87669237,0.022277228
25.06493087,0.030940594
26.8784921,0.064356436
28.51516218,0.14480198
29.60819293,0.306930693
30.74312126,0.543316832
31.58032313,0.719059406
32.61511417,0.813118812
33.50329448,0.86509901
34.60109543,0.892326733
35.54335832,0.909653465
36.51128106,0.920792079
37.70764458,0.928217822
39.15303755,0.933168317
40.43596339,0.938118812
41.98593708,0.941831683
44.06637757,0.946782178
47.50939098,0.952970297
54.92751672,0.964108911
64.8836624,0.972772277
84.88314657,0.978960396
150.0361919,0.986386139
251.323658,0.992574257
350.6906234,0.995049505
502.6706719,0.995049505
797.9646711,0.997524752
